,0
0,Arizona
1,Arkansas
2,Connecticut
3,Idaho
4,Illinois
5,Iowa
6,Kansas
7,Kentucky
8,Louisiana
9,Maine
10,Maryland
11,Minnesota
12,Missouri
13,Montana
14,Nebraska
15,New Hampshire
16,New Jersey
17,North Dakota
18,Oklahoma
19,Oregon
20,Rhode Island
21,South Dakota
22,Tennessee
23,Vermont
24,Virginia
25,West Virginia
26,Wyoming
